ankle,arm-length,bicep,calf,chest,forearm,height,hip,leg-length,shoulder-breadth,shoulder-to-crotch,thigh,waist,wrist,gender,height_cm,weight_kg
24.34395408630371,52.90237808227539,33.294395446777344,38.709510803222656,102.5260238647461,27.59909439086914,177.61099243164062,108.04713439941406,81.73643493652344,35.91569137573242,67.89127349853516,57.87279510498047,92.28617095947266,16.709131240844727,male,178.0,79.6
22.00178337097168,46.76323318481445,28.288970947265625,35.64996337890625,99.2533950805664,24.81337547302246,164.37962341308594,92.1286849975586,75.12725830078125,33.848777770996094,60.541385650634766,52.41831970214844,87.30789947509766,15.19203758239746,female,163.0,65.0
26.56500625610352,53.2885971069336,30.80095863342285,39.85494995117188,102.39127349853516,27.71979522705078,183.7188415527344,106.04412078857422,84.05552673339844,37.8564567565918,72.00437927246094,52.93408584594727,96.5964126586914,17.93659782409668,male,185.0,82.9
24.779565811157227,49.07775115966797,34.61311340332031,38.10426712036133,111.16407012939452,28.5504093170166,169.05911254882812,109.52946472167967,74.31023406982422,38.19779968261719,68.53671264648438,58.65667343139648,103.3951187133789,17.02985954284668,male,166.0,88.7
20.78885269165039,42.22955703735352,24.52714157104492,29.18135643005371,93.62777709960938,21.97903823852539,146.51663208007812,87.13410186767578,67.26985931396484,31.65919685363769,52.6972770690918,41.84494400024414,74.4008560180664,15.120060920715332,female,144.6,44.2
24.674118041992188,46.94625473022461,29.940608978271484,36.81808090209961,100.15499877929688,26.143871307373047,176.6648406982422,99.81765747070312,73.94376373291016,35.744266510009766,70.81084442138672,51.81914520263672,83.86980438232422,16.372060775756836,male,177.0,74.7
25.46615600585937,51.1634635925293,29.09806251525879,37.15715026855469,92.7225341796875,27.15604591369629,178.9779815673828,97.8735122680664,82.30216979980469,37.23946380615234,66.81805419921875,49.03817367553711,78.92030334472656,17.399463653564453,male,178.6,67.1
24.376115798950195,45.99767303466797,29.44034194946289,37.11942672729492,113.5492706298828,25.034324645996094,160.16490173339844,106.76206970214844,72.8509750366211,35.03535079956055,60.5288314819336,54.90545654296875,107.0347900390625,16.706375122070312,female,158.0,77.4
24.880470275878903,46.4306640625,29.9108829498291,39.28228759765625,94.17327880859376,25.15575790405273,162.006591796875,102.333740234375,75.34252166748047,33.09746170043945,59.270545959472656,55.3901252746582,85.31018829345703,16.6101131439209,female,162.0,66.9
22.742536544799805,45.37940216064453,32.74854278564453,37.94465255737305,122.96255493164062,26.89884376525879,155.54574584960938,114.80290985107422,68.06900787353516,35.909629821777344,59.71751022338867,57.096954345703125,112.93948364257812,16.802091598510742,female,154.1,83.7
24.74004364013672,50.97289276123047,30.681303024291992,35.23457717895508,95.77923583984376,27.324010848999023,174.0694122314453,96.9201431274414,81.30386352539062,35.66278076171875,65.10942077636719,50.87236785888672,82.21373748779297,17.28766632080078,male,172.6,68.1
25.37160873413086,53.50772476196289,39.0116081237793,40.85094451904297,122.19342041015624,33.70765686035156,180.6703948974609,110.95491027832033,85.37957000732422,40.04086685180664,67.52969360351562,56.80635452270508,109.36113739013672,19.351045608520508,male,179.0,101.7
25.833364486694336,51.05610275268555,28.8845329284668,36.16111755371094,101.89659881591795,26.72850799560547,177.22073364257812,99.2237319946289,80.62630462646484,37.82480239868164,68.60801696777344,50.74698638916016,84.89327239990234,17.295169830322266,male,179.0,72.0
22.11094665527344,42.74123764038086,27.424707412719727,35.65148162841797,89.4739761352539,23.59394836425781,158.33795166015625,94.87220001220705,70.54869842529297,31.470802307128903,58.75323486328125,51.796165466308594,77.15232849121094,15.86899185180664,female,158.3,58.1
26.184064865112305,50.905540466308594,28.22601127624512,37.57546615600586,98.26996612548828,26.47516822814941,176.3844451904297,95.80044555664062,79.85946655273438,36.72936630249024,66.34008026123047,52.33489227294922,79.04681396484375,16.40630531311035,male,178.0,71.6
22.312450408935547,43.671913146972656,31.953712463378903,37.76602554321289,106.53643035888672,27.21356201171875,156.61866760253906,103.14043426513672,69.95234680175781,34.373390197753906,59.047359466552734,56.29758071899414,85.88825988769531,17.6932315826416,female,156.0,70.5
25.29034996032715,49.6096076965332,29.87209892272949,39.482872009277344,99.97396087646484,26.237478256225582,172.86705017089844,108.0689697265625,78.5002670288086,34.663333892822266,63.54736709594727,58.38501739501953,90.38313293457033,16.210710525512695,female,172.5,79.7
22.53120422363281,49.2200927734375,26.90044212341309,35.371822357177734,94.22655487060548,22.571287155151367,166.5394287109375,102.5193099975586,77.68121337890625,33.05937957763672,59.38827133178711,53.33388137817383,82.11270904541016,14.188421249389648,female,164.5,64.7
22.063173294067383,51.9434814453125,29.011816024780277,34.99395751953125,97.8163604736328,24.351512908935547,168.27394104003906,97.56271362304688,80.80277252197266,34.313941955566406,62.23643112182617,50.93609619140625,90.39958190917967,15.613966941833496,male,166.5,65.8
25.126089096069336,53.44363784790039,27.75780868530273,37.10091400146485,93.89010620117188,25.06172752380371,181.02784729003903,98.17752838134766,84.92781829833984,33.03047561645508,64.01351928710938,53.059268951416016,81.50312042236328,16.282514572143555,female,182.0,69.9
20.931018829345703,46.20817565917969,29.47761344909668,33.437435150146484,92.39200592041016,24.056921005249023,158.7543487548828,93.67941284179688,74.02307891845703,32.34389877319336,56.48509216308594,54.13359451293945,79.95699310302734,14.579545021057127,female,157.25,58.7
21.079761505126957,45.45671844482422,23.91275405883789,32.1273078918457,86.20568084716797,22.25738906860352,161.33181762695312,89.7505111694336,72.91248321533203,29.95335960388184,60.03893280029297,49.086647033691406,66.98853302001953,14.919239044189451,female,160.0,50.0
22.67784309387207,47.12709045410156,27.806718826293945,34.69304656982422,89.25285339355469,23.21061134338379,163.29432678222656,96.18466186523438,76.039306640625,31.362478256225582,58.375,50.12926864624024,78.24508666992188,15.207329750061035,female,160.5,57.3
23.362548828125,50.205039978027344,28.219707489013672,38.21259307861328,102.1435546875,25.0490665435791,176.4343719482422,106.52654266357422,81.48880767822266,34.80927276611328,64.53680419921875,52.61399459838867,93.0442352294922,15.801148414611816,female,175.4,77.2
22.581920623779297,49.14448165893555,26.117015838623047,34.1313362121582,94.67241668701172,25.70744514465332,166.28201293945312,88.92472076416016,75.43853759765625,35.87290573120117,63.74502182006836,47.27751159667969,80.2665786743164,16.6568603515625,male,163.0,60.0
23.3249568939209,51.56865692138672,30.8909854888916,35.068729400634766,99.2065658569336,26.8172550201416,173.0939178466797,99.77027130126952,78.52146911621094,36.5698127746582,67.3136215209961,51.37426376342773,93.46900177001952,16.450830459594727,male,172.9,72.7
22.33539581298828,47.79108047485352,33.45450592041016,33.374759674072266,102.03099822998048,28.36693000793457,165.9588623046875,98.4374542236328,73.84928894042969,36.49642181396485,64.3826904296875,52.60615921020508,88.61717224121094,16.6865177154541,male,165.5,71.5
